,SPLIT,QED,logP,TPSA,HBD,HBA,valence,maxCharge,minCharge,jIndex,molWt,can
376520,train,0.796277851,2.7973,58.1,1,4,124,0.326215404,-0.342230998,1.46590672,341.436,O=C(Cc1cccs1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1
739159,train,0.913941303,1.7229,67.23,1,4,120,0.253167957,-0.347775741,1.730982283,312.373,CN(C(=O)C1CC1)c1ccccc1C(=O)NCc1cnn(C)c1
200568,train,0.849273338,1.8516,76.66,2,4,124,0.250791647,-0.453595475,1.391265563,326.352,O=C(CCNC(=O)c1ccccc1)NCc1ccc2c(c1)OCO2
1203358,train,0.899900872,3.4754,49.33,2,3,122,0.252018065,-0.386567052,1.625351057,333.428,CC1CCc2c(C(=O)NCC(O)c3ccc(F)cc3)csc2C1
159354,train,0.875987457,1.02256,90.87,1,6,96,0.271895312,-0.367038442,2.738079606,266.326,Cc1cc(C)c(S(=O)(=O)n2cnnc2N)c(C)c1
560895,train,0.745311222,3.04012,71.82,0,5,114,0.268754564,-0.361090957,2.211215482,305.337,Cc1noc(C)c1Cn1c(-c2ccccc2)ccc(C#N)c1=O
740394,train,0.755353193,2.95894,64.86,1,6,124,0.225713387,-0.480864162,1.673455265,323.4,COc1ccnc(NCc2cccc(Cn3nc(C)cc3C)c2)n1
888121,train,0.66759758,2.0473,110.52,3,5,130,0.24827751,-0.494592914,2.089881064,341.367,COc1ccc(C(N)=O)cc1NCC(=O)Nc1ccccc1C(C)=O
390800,train,0.888817128,1.7286,41.57,1,3,108,0.220999848,-0.370856034,1.462258819,274.364,O=C(CCN1CCOC(c2ccccc2)C1)NC1CC1
361038,train,0.878436467,2.0055,63.99,1,4,104,0.261267174,-0.351089345,2.416722885,312.156,C=CCNC(=O)Cn1cnc2c(Cl)cc(Cl)cc2c1=O
1089370,train,0.866713797,2.99058,49.03,0,3,108,0.253472797,-0.337967162,2.242486628,285.322,CC(CC#N)N(C)C(=O)c1ccc(-n2cccc2)c(F)c1
920790,train,0.894750053,0.8272,73.74,1,5,116,0.244102696,-0.392990662,1.744632417,311.407,O=S(=O)(c1ccc(N2CCC(O)CC2)nc1)N1CCCC1
734428,train,0.791254974,3.06084,46.09,0,3,108,0.253994601,-0.33122717,2.409818977,281.359,C=CCN(CC=C)C(=O)c1ccc2nc(C)c(C)nc2c1
836776,train,0.830081115,2.5839,38.77,0,3,110,0.257126217,-0.495924338,2.042636856,277.364,CCOCC1CCCN(C(=O)c2ccccc2OC)C1
1422886,train,0.909202865,3.34912,52.65,1,2,126,0.321590528,-0.344760493,2.148031713,317.433,Cc1ccc(NC(=O)N2CC(C)CCC2C)cc1C(=O)N(C)C
264549,train,0.715578184,1.91458,80.53,0,7,88,0.251615517,-0.355091417,1.799319711,257.278,N#Cc1ncn(Cc2cc(-c3cccs3)on2)n1
1054081,train,0.882249107,2.7267,58.64,1,4,118,0.243414722,-0.489571759,1.729613204,310.353,CC(=O)c1ccccc1NC(=O)CN1CCOc2ccccc21
394657,train,0.927715586,2.64812,77.25,1,5,106,0.227728929,-0.496488585,2.320919324,275.308,COc1ccc(-c2nonc2NC(=O)C(C)C)cc1C
1107063,train,0.877622239,3.0531,59.39,1,4,134,0.322510321,-0.376414764,1.435371823,342.443,CCc1cc(NC(=O)N2CCC(COCc3ccccc3)C2)n(C)n1
723728,train,0.85667382,3.50928,62.7,1,3,84,0.141549689,-0.38257915,2.504374061,264.115,N#Cc1ccc(-c2ccc(Cl)c(Cl)c2)nc1N
1238225,train,0.702481609,1.5793,92.07,3,5,126,0.320416004,-0.395762542,1.45269879,327.388,O=C(Nc1ccn(CCc2ccccn2)n1)NC1C=CC(CO)C1
312203,train,0.722444415,2.35742,82.53,2,6,124,0.163172725,-0.486062844,1.931745146,325.368,Cc1ccc(-c2nc3cc4c(cc3n2CCO)OCCO4)cc1N
1270899,train,0.837565366,2.97212,81.6,0,6,128,0.257528953,-0.463059439,1.556497829,331.372,COCc1cc(C(=O)N2CCCC2c2noc(C3CC3)n2)c(C)o1
1015993,train,0.71661799,2.84302,84.23,2,4,132,0.252887466,-0.467476273,1.591032733,349.39,Cc1ncccc1C(=O)NCc1cccc(C(=O)NCc2ccco2)c1
914191,train,0.713868138,0.6178,61.8,0,7,122,0.319631248,-0.46502652,1.899247931,307.398,CCOC(=O)CN1CCN(c2cc(N(C)CC)ncn2)CC1
1297966,train,0.879512085,3.2812,68.02,1,4,128,0.248991027,-0.343750567,1.713623721,335.354,CC(C)C(NC(=O)Cc1c(F)cccc1F)c1nc(C2CC2)no1
234894,train,0.677224482,1.7753,89.13,2,5,118,0.250980357,-0.496763807,1.481531376,312.329,COc1ccc(OCCNC(=O)c2ccc3[nH]nnc3c2)cc1
1130093,train,0.880295438,3.83594,34.15,1,4,114,0.118378454,-0.496768213,1.950650737,304.459,COc1ccc(C(C)(C)CNCc2sc(C)nc2C)cc1
1242152,train,0.792203718,3.2774,47.04,1,6,98,0.182823067,-0.3828611,1.991517066,283.422,CCCc1ncc(-c2csc(NCCOC)n2)s1
200953,train,0.86031376,2.50702,50.68,1,4,94,0.343740795,-0.267044025,1.752789571,261.35,Cc1cccc(CSc2n[nH]c(=O)n2C2CC2)c1
866807,train,0.732515631,0.9346,112.39,1,8,130,0.41988051,-0.407695163,1.460231541,344.327,O=C(NCC1CCCO1)c1nc(Cn2c(=O)oc3ccccc32)no1
1195274,train,0.79362342,3.88526,46.4,1,4,118,0.25768544,-0.378954371,1.91045651,327.815,Cc1cc(C)c(NCc2cc(=O)n3cc(Cl)ccc3n2)c(C)c1
157267,train,0.835792394,1.4745,70.99,1,5,112,0.343474742,-0.3392696,1.943320629,298.412,CCCn1c(SCC(=O)N2CCCCC2C)n[nH]c1=O
884186,train,0.775116504,1.79734,58.56,0,6,134,0.451111079,-0.46502652,2.086369171,346.353,CCOC(=O)CN1CCN(c2nc(C(F)(F)F)nc(C)c2C)CC1
1248894,train,0.674812599,2.27632,60.91,1,4,94,0.280297209,-0.398666729,2.441464481,251.289,Cc1nc(=O)c2ccccc2n1-c1cccc(N)c1
1380542,train,0.729656895,3.40958,78.84,0,6,124,0.25789651,-0.369173122,1.607943211,335.342,N#Cc1ccc(-c2noc(-c3ccc(N4CCCC4)c(F)c3)n2)nc1
801730,train,0.85725755,3.63854,64.16,0,5,132,0.273904022,-0.361091236,2.292848641,332.448,Cc1noc(C)c1CN(C)C(=O)c1cc(C(C)C)n(C(C)(C)C)n1
1149923,train,0.821904091,2.95414,77.52,1,6,122,0.340649573,-0.46754315,1.96968102,334.397,CCOC(=O)c1cc(C)sc1NC(=O)COc1ccc(C)cn1
1383197,train,0.943690809,2.66266,76.13,1,4,116,0.255741208,-0.320572207,2.264402445,318.398,Cc1cc(C)c(C(=O)Nc2ccc(S(C)(=O)=O)nc2)c(C)c1
577592,train,0.778383785,0.6367,64.68,2,3,116,0.317190712,-0.35281634,2.289446807,284.404,CCC(C)NC(=O)N1CCN(CC(=O)NC(C)C)CC1
283188,train,0.714269383,2.4627,88.26,2,4,126,0.339029195,-0.451957464,1.69357596,340.31,O=C(COC(=O)c1cc(=O)[nH]c2ccccc12)Nc1ccc(F)cc1
1002174,train,0.708733458,0.989,66.92,0,4,112,0.323984831,-0.464789375,2.964631605,292.401,CCOC(=O)C1CCCCN1S(=O)(=O)N(C)C(C)C
687473,train,0.729030439,0.89902,119.97,2,7,122,0.27293184,-0.36415476,1.848895488,343.368,Cc1cccc(NC(=O)Cn2cnc3c(C(N)=O)nsc3c2=O)c1
576301,train,0.777122391,3.51774,77.25,1,5,122,0.327875526,-0.488891019,1.657557362,323.352,Cc1cccc(COc2cccc(C(=O)Nc3nc(C)no3)c2)c1
10783,train,0.681660564,3.29892,37.3,1,2,88,0.215962456,-0.388187729,2.696381577,281.566,Cc1ccc(C(=O)CC(O)C(Cl)(Cl)Cl)cc1
332348,train,0.819601144,0.5417,81.59,2,7,126,0.227161352,-0.395044548,1.830099052,319.409,CCNc1nc(N2CCN(CCO)CC2)nc2c1C(=O)CCC2
1421380,train,0.578484513,3.60292,48.01,0,5,114,0.133168186,-0.303250465,1.679547306,323.787,Cc1nc(-c2cn(Cc3ccc(Cl)cc3)nn2)c2ccccn12
1265856,train,0.88732855,1.6288,85.17,2,5,102,0.416248986,-0.420665849,2.410812465,273.214,NC(c1nnc(CO)o1)c1ccccc1C(F)(F)F
408371,train,0.915043706,1.0466,67.33,1,5,124,0.3283867,-0.378792297,1.981519041,317.389,CC(C)C(Cn1c(=O)[nH]c2ccccc2c1=O)N1CCOCC1
1530510,train,0.737603562,1.3263,97.47,3,5,112,0.270594139,-0.496109024,2.57225249,289.335,COc1ccc(N)c2c(C(=O)NC(C)(C)CO)nccc12
1048597,train,0.930271591,3.37432,70.71,1,4,130,0.225300159,-0.337528874,1.779559872,336.439,Cc1nn(-c2ccccc2)c(C)c1CC(=O)NC1(C#N)CCCCC1
1083705,train,0.927010382,2.5741,55.4,1,3,112,0.240135891,-0.381407451,2.085409361,321.801,CC1(CNS(=O)(=O)c2ccc(F)c(Cl)c2)CCOCC1
625873,train,0.810963935,3.34478,67.16,0,4,114,0.417301781,-0.378911171,2.460446516,327.283,N#Cc1cccc(OS(=O)(=O)c2ccccc2C(F)(F)F)c1
305985,train,0.947074187,2.6332,48.99,1,3,122,0.253882029,-0.310083468,1.78774948,315.392,CC(C)c1nc2c(c(=O)[nH]1)CCN(Cc1ccccc1F)CC2
978264,train,0.568469214,2.08,95.66,0,8,110,0.225929473,-0.33931382,1.746696266,296.29,CCc1nc(Cn2ccnc2-c2cccc3nonc23)no1
436220,train,0.855750382,3.3581,33.45,0,2,104,0.229772105,-0.467468684,1.774601506,269.344,CN(Cc1ccco1)C(=O)C1CCCc2ccccc21
868434,train,0.924160078,2.2938,90.82,1,6,128,0.25726489,-0.492842131,1.714539773,331.372,COc1cccc(C(=O)N2CCC(c3cc(N)on3)CC2)c1OC
1079856,train,0.926104114,1.2163,67.23,1,4,114,0.269806544,-0.347815801,1.600966401,298.346,CC1c2cccn2CCN1C(=O)CNC(=O)c1ccccn1
661821,train,0.840993734,0.2404,67.23,1,4,96,0.279249894,-0.275492886,1.924175991,258.347,Cn1cc(CNS(=O)(=O)N2CCCCC2)cn1
546536,train,0.774004435,2.0347,74.85,2,3,116,0.258259031,-0.351587187,1.654911981,311.316,O=C(NCCc1nc2ccccc2c(=O)[nH]1)c1ccc(F)cc1
1020710,train,0.914518816,1.8327,76.46,1,6,128,0.256088942,-0.371885068,1.573022104,348.428,CC1CN(C(=O)Cn2cc(NC(=O)c3ccsc3)cn2)CC(C)O1
968510,train,0.683975293,0.7787,125.02,2,7,126,0.289840822,-0.483773856,1.579681963,338.327,NC(=O)c1nnn(-c2ccc(NC(=O)COc3ccccc3)cc2)n1
312589,train,0.878385073,3.03512,58.64,1,4,124,0.243395736,-0.489570959,1.738973913,324.38,CC(=O)c1ccc2c(c1)N(CC(=O)Nc1ccc(C)cc1)CCO2
1531468,train,0.756043959,3.07072,71.17,3,4,102,0.134045093,-0.398190301,2.625770865,324.222,CCC(CO)Nc1ncc(Br)c2c(N)ccc(C)c12
1493801,train,0.911286624,2.7345,63.69,1,4,136,0.317455479,-0.489270989,1.262837995,345.443,O=C(NC1CCCC1)N1CCC2OC(COc3cccnc3)CCC21
1402921,train,0.777378572,2.2829,76.88,1,6,118,0.177056922,-0.379911826,1.744881525,328.397,CS(=O)(=O)c1ccccc1NCc1ccc(-n2cncn2)cc1
738455,train,0.794361059,2.0791,69.55,1,4,128,0.269979035,-0.467994218,1.46083047,337.379,O=C(c1cc2ccccc2c(=O)[nH]1)N1CCN(Cc2ccco2)CC1
268280,train,0.881356132,2.3712,64.63,1,4,122,0.251045685,-0.492869959,2.022593042,333.409,COc1ccc(CNC(=O)c2ccc(S(C)=O)cc2)cc1OC
1147718,train,0.904048243,2.41574,66.4,2,3,122,0.240445976,-0.383766421,1.843970421,331.437,Cc1ccc(C)c(S(=O)(=O)NCC2(O)CCc3ccccc32)c1
480405,train,0.573802019,4.67656,68.02,1,6,116,0.26049226,-0.465825512,1.730126478,343.433,Cc1cc(C(=O)Nc2nc3ccc4nc(C)sc4c3s2)c(C)o1
1527684,train,0.871124236,3.8211,12.03,1,1,88,0.137235751,-0.309547994,2.393013863,286.188,CC(C)CC1NCCc2ccc(F)c(Br)c21
1013344,train,0.866677791,0.5509,67.23,1,4,104,0.269678405,-0.340929249,1.928170354,264.329,CC(NC(=O)c1ccnn1C)C(=O)N1CCCCC1
207894,train,0.740266255,1.8851,81.93,1,6,128,0.260655156,-0.480911356,1.622016447,341.346,CC(Oc1ccccc1)C(=O)NCc1nnnn1-c1cccc(F)c1
710960,train,0.871565202,2.0436,67.79,2,4,116,0.219854459,-0.489566648,1.945120248,293.363,CC(C)CC(=O)NCC(O)c1ccc2c(c1)OCCCO2
730976,train,0.803841846,0.6572,57.5,0,7,124,0.236294137,-0.345529586,1.449945431,334.449,CN(Cc1cnn(C)c1)C(=O)CN1CCN(c2nccs2)CC1
476983,train,0.721862731,1.50078,98.04,3,5,106,0.250844767,-0.507966196,1.808029836,282.303,N#Cc1cccnc1NCCNC(=O)c1ccc(O)cc1
231565,train,0.936546675,3.2037,32.34,1,2,124,0.241689712,-0.351704436,1.619703433,324.399,O=C(NC1CC1)C(c1ccc(F)cc1)N1CCc2ccccc2C1
426384,train,0.842698138,2.1051,63.24,1,3,104,0.243236373,-0.293878165,2.389678217,285.34,CC(C)NS(=O)(=O)c1cc(C(=O)C2CC2)ccc1F
108146,train,0.600519176,2.4618,84.08,2,5,122,0.25125171,-0.493887434,1.894653621,333.413,CCOc1ccc(NC(=O)CSc2nc(CC)cc(=O)[nH]2)cc1
164678,train,0.877144844,3.2877,46.92,1,4,104,0.228452054,-0.310649437,1.666885052,287.388,O=C(Nc1ccnn1Cc1cccs1)C1CC=CCC1
544778,train,0.803082931,2.07334,77.13,1,5,118,0.275713367,-0.464503062,1.938260581,311.341,Cc1ccc2c(c1)c(=O)c(C(=O)NCc1ccc(C)o1)nn2C
1058584,train,0.788677684,3.0232,62.58,0,6,128,0.356241355,-0.485691247,1.621801294,330.384,CCn1nc(C(C)C)cc1C(=O)OCC1COc2ccccc2O1
741755,train,0.914143762,2.77352,70.4,2,4,116,0.320213334,-0.371378811,1.463546339,300.362,Cc1cc(NC(=O)NC2CCN(c3ccccc3)CC2)no1
282489,train,0.869728798,2.7501,55.95,0,5,118,0.273747182,-0.328677405,1.929673606,321.812,CCn1nccc1C1CCCN1C(=O)c1c(Cl)cnn1CC
259657,train,0.849181407,2.41426,94.32,1,7,118,0.340924085,-0.462305709,2.162578961,323.374,CCOC(=O)c1c(NC(=O)Cc2nnc(C)o2)sc(C)c1C
17378,train,0.802515775,2.85264,63.99,1,5,118,0.262054599,-0.324431339,1.807936118,331.372,Cc1cc2c(=O)n(CC(=O)Nc3ccc(C)c(F)c3)cnc2s1
1383443,train,0.866443938,3.4894,42.43,0,3,120,0.271608608,-0.471587167,1.764335988,318.323,CC1CN(C(=O)c2ccc(OCC(F)F)nc2)c2ccccc21
42144,train,0.807795079,2.8092,43.6,0,5,84,0.208864251,-0.223578322,2.07767811,275.164,Cn1nnnc1SCc1ccc(Cl)cc1Cl
1032583,train,0.840258296,1.817,63.91,0,5,110,0.222701953,-0.334086083,1.557954357,285.351,O=C(CCCn1cncn1)N1CCCC1c1ccccn1
511609,train,0.736422039,3.8499,68.02,1,5,116,0.322331923,-0.403104022,1.802176515,329.356,CSc1ccccc1C(=O)Nc1nnc(-c2cccc(F)c2)o1
1540141,train,0.933753345,2.72378,56.13,1,3,112,0.239680618,-0.369351126,1.993197154,309.772,CC(C)(C#N)C(=O)NC1CCN(c2ccc(F)c(Cl)c2)C1
238335,train,0.78555659,3.53946,68.02,1,4,112,0.258487043,-0.335512769,2.034443001,299.305,Cc1ccc(NC(=O)c2cc(C)nc3onc(C)c23)c(F)c1
845533,train,0.777925293,2.72582,37.53,1,3,96,0.136845616,-0.39167715,1.903694387,252.317,Cc1ccc(Cc2cn3ccc(CO)cc3n2)cc1
1317884,train,0.932466914,3.27982,63.24,1,3,122,0.231243615,-0.325528597,2.258714563,335.4,Cc1ccc(NC(=O)C(C)c2ccccc2F)cc1S(C)(=O)=O
994583,train,0.841314251,1.761,51.22,1,4,94,0.245524592,-0.368413786,1.541415618,254.355,O=C(COC1CCCC1)NCCc1cscn1
1306196,train,0.925211293,2.3874,71.53,1,4,130,0.230029247,-0.496684045,1.86437606,343.358,COc1ccc(F)c(NC(=O)C2CC(=O)N(C)C2c2cccnc2)c1
1536169,train,0.839087424,2.4217,40.62,0,3,128,0.417222007,-0.3004407,1.77112151,348.39,O=S(=O)(c1ccccc1C(F)(F)F)N1CCN(CC2CC2)CC1
408551,train,0.646624847,2.0552,99.33,4,4,130,0.250597498,-0.376091177,1.926588641,340.383,CNC(=O)c1cccc(NC(=O)CNc2cccc(NC(C)=O)c2)c1
319548,train,0.642130767,1.74152,84.73,2,6,128,0.223982055,-0.366813401,1.407095572,336.399,Cc1ccn(-c2ccc(NCCNC(=O)Cc3ccccc3)nn2)n1
1205861,train,0.832752448,1.07572,66.65,0,4,112,0.405552084,-0.350776983,2.91777328,293.245,Cc1cc(C(=O)N(CC(=O)N(C)C)CC(F)(F)F)on1
20634,train,0.839648628,2.3116,80.42,2,4,106,0.356451835,-0.496741775,2.603298349,276.292,CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(C)=O
1249247,train,0.89913586,2.2086,59.81,1,6,96,0.260421337,-0.360350728,2.372158533,264.354,CCCn1cccc(-c2nnc(NCC)s2)c1=O
609084,train,0.823451548,2.8717,38.77,0,3,116,0.260051304,-0.49640639,1.935506702,303.333,COc1ccccc1CN(C)C(=O)COc1ccccc1F
810300,train,0.60699482,4.19602,59.81,1,4,128,0.256724643,-0.327107551,1.570261077,342.402,Cc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4n3C)cc2)cn1
1300817,train,0.877856848,3.52212,60.45,1,5,124,0.251743265,-0.492858962,2.19482651,334.441,CCc1cnc(C(C)NC(=O)c2cc(OC)c(OC)cc2C)s1
788864,train,0.904160175,2.55658,69.96,1,3,98,0.242710017,-0.207005437,2.956057294,286.784,CC(C)CC(C#N)NS(=O)(=O)c1ccccc1Cl
21216,train,0.66367485,0.0494,91.9,0,8,112,0.351881161,-0.496767787,2.260208288,299.29,COc1ccc(-c2nc3c(=O)n(C)c(=O)nc-3n(C)n2)cc1
594257,train,0.827008048,0.5188,70.47,1,6,128,0.251669059,-0.350727255,1.344339138,347.444,O=C(NCCN1CCN(C(=O)Cn2cccn2)CC1)c1ccsc1
1305474,train,0.870308575,2.649,50.36,2,3,112,0.23676523,-0.496768202,2.597417728,278.396,COc1ccc(C(C)NC(C)C(=O)NC(C)(C)C)cc1
698253,train,0.795812003,1.1062,76.24,2,4,100,0.251007091,-0.375821122,1.646917779,253.302,CCc1cc(NC(=O)COCC2CCCO2)[nH]n1
307104,train,0.879834761,2.65528,77.81,2,4,94,0.220747422,-0.340238425,2.060871028,252.277,CC(=O)Nc1ccc(Nc2ccc(C#N)cn2)cc1
859193,train,0.834881439,2.56086,38.13,0,4,96,0.264906962,-0.344012417,2.501264031,263.366,Cc1nc(-n2c(C)ccc2C)sc1C(=O)N(C)C
793978,train,0.631756261,2.4029,72.55,2,4,104,0.165520342,-0.489038676,2.073612714,263.337,Nc1cc(C(=O)C2CCCCC2)ccc1OCCO
1039585,train,0.711643345,1.8102,49.85,0,3,124,0.241694775,-0.376375933,1.619685454,349.258,O=C(CN(CC1CCCO1)C(=O)C1CC1(Cl)Cl)N1CCCC1
1023731,train,0.725533905,3.0264,84.08,2,4,116,0.256749268,-0.496765888,1.830062145,309.325,COc1ccc(NC(=O)c2cnc3[nH]c(C(C)=O)cc3c2)cc1
766456,train,0.807227773,2.77294,63.68,0,4,122,0.338745576,-0.378683826,2.362905611,333.409,Cc1ccc(OS(=O)(=O)c2cccc(C(=O)N(C)C)c2)c(C)c1
171784,train,0.864480699,1.5282,78.51,2,3,126,0.256224094,-0.350440159,1.56116726,327.384,O=C(NC1CCN2C(=O)c3ccccc3NC(=O)C12)C1CCCC1
1503004,train,0.871008609,2.2135,38.33,1,2,98,0.222721787,-0.37186045,2.089510332,251.301,COC(C)(CNC(=O)C1CC1)c1ccccc1F
1341104,train,0.852882321,2.97948,62.12,1,3,122,0.223952677,-0.47875006,1.541101797,320.392,N#CCOc1cccc(CC(=O)NCC2(c3ccccc3)CC2)c1
816317,train,0.693980834,1.9936,83.12,3,4,122,0.405266434,-0.345449702,2.320338179,336.339,CCSc1ccc(NC(=O)NCC(=O)NCC(F)(F)F)cn1
872629,train,0.707600751,1.8698,78.86,0,7,102,0.255585887,-0.36837297,1.724708625,271.28,Cn1nnc2ccc(-c3noc(C4CCCO4)n3)cc21
964659,train,0.823419102,1.3053,75.71,1,4,112,0.239299152,-0.494579443,2.756801643,300.38,CCCN(CC(=O)Nc1ccccc1OC)S(C)(=O)=O
1461948,train,0.795337429,2.9418,55.12,2,3,100,0.24905262,-0.365573829,1.774745034,339.258,NC(=O)c1csc(CNCCc2ccccc2Br)c1
61576,train,0.939491085,3.53464,46.92,1,3,100,0.258658058,-0.320839825,2.229061066,322.206,CCn1ncc(C(=O)Nc2ccc(C)cc2Br)c1C
1534880,train,0.682100667,3.7138,38.92,0,4,74,0.182491319,-0.440973356,2.271509709,281.134,Brc1cccc2nc(-c3cnco3)sc12
980726,train,0.829787442,2.3362,71.34,2,3,106,0.286722996,-0.445771895,2.659228828,266.341,CCC(C)NC(=O)c1ccc(C(=O)NC(C)CC)o1
52294,train,0.652032377,2.3351,77.77,1,5,110,0.337704281,-0.459642164,1.923989494,289.287,COCCOC(=O)c1ccc(NC(=O)c2ccco2)cc1
534761,train,0.840330354,2.57802,89.27,1,5,118,0.226149349,-0.359541496,1.995842138,346.767,Cc1cc(NC(=O)CCS(=O)(=O)c2ccc(F)c(Cl)c2)no1
284379,train,0.647295041,4.0101,46.17,1,3,108,0.224713442,-0.326071171,1.775685636,299.395,CC(=O)c1ccc(NC(=O)CCSc2ccccc2)cc1
1470221,train,0.771650929,1.6902,86.11,1,6,122,0.273748564,-0.382833526,1.909140522,324.34,COCCn1cnc2ccc(NC(=O)c3ccccn3)cc2c1=O
517581,train,0.859659994,3.4023,53.76,0,3,126,0.281884441,-0.459373969,1.814547689,336.457,CC1CCN(S(=O)(=O)N(C)C(C)c2cc3ccccc3o2)CC1
1022980,train,0.618023087,0.1689,73.83,3,4,112,0.31484666,-0.393939574,2.225246677,273.377,CCC(CC)(CO)NC(=O)NCCN1CCOCC1
1296834,train,0.826333787,1.8972,84.08,2,4,116,0.327837655,-0.464467108,2.207794144,305.309,CCOC(=O)C(C)NC(=O)c1c[nH]nc1-c1ccccc1F
538137,train,0.797801678,2.3939,94.32,3,7,116,0.162929257,-0.486144857,1.836711262,301.35,CC(C)Nc1ncnc(Nc2ccc3c(c2)OCCO3)c1N
305274,train,0.787177964,2.8045,46.33,1,2,98,0.415987808,-0.397027118,2.322507194,258.243,Nc1cc(C(F)(F)F)ccc1N1CCCCC1=O
1271640,train,0.917492513,2.97992,78.67,1,4,100,0.274916308,-0.305206222,2.217118951,331.173,Cc1cc(NC(=O)c2ccc(C#N)c(C)n2)ncc1Br
1308624,train,0.51214871,2.5503,64.63,1,4,128,0.310243357,-0.480964951,2.027877849,329.396,C#CCOc1ccc(C(=O)NC2CCCCCC2C(=O)OC)cc1
537788,train,0.800048592,3.19602,75.86,3,5,100,0.158788875,-0.392713906,2.326874744,277.759,CCNc1ncnc(Nc2cc(Cl)ccc2C)c1N
367053,train,0.903455283,2.1723,48.99,1,3,94,0.258297337,-0.308906967,1.997000446,263.728,O=c1[nH]c(CN2CCCC2)nc2cc(Cl)ccc12
464863,train,0.783605923,3.0804,80.91,1,5,128,0.415910266,-0.342956034,1.619639041,348.284,O=C(NCc1nc(-c2ccncc2)no1)c1ccc(C(F)(F)F)cc1
973910,train,0.736520372,2.65104,59.39,1,4,114,0.277244622,-0.493589489,1.697997402,297.358,Cc1cc2[nH]c(C)c(CCCOc3ccccc3)c(=O)n2n1
1240890,train,0.867321678,3.03702,49.58,0,4,128,0.291135739,-0.435257791,1.691975719,331.391,CCc1nc(C)c(C(=O)N2CCCN(c3ccc(F)cc3)CC2)o1
430772,train,0.804105765,3.2231,58.04,2,4,114,0.451123563,-0.39637656,2.231762768,299.296,OCCCCCNc1nc(C(F)(F)F)nc2ccccc12
856078,train,0.559043555,0.4865,62.21,0,5,124,0.335765794,-0.46558602,2.023370804,317.389,C#CCCN1CCN(C(=O)C2=NC(C)C(C(=O)OC)=C2C)CC1
855146,train,0.894304924,1.5521,81.06,1,5,118,0.238334659,-0.350895321,2.058981717,341.82,CC(C(=O)NCc1ccc(Cl)cc1)S(=O)(=O)c1nccn1C
274709,train,0.865018196,2.554,41.13,2,2,98,0.239067924,-0.373776339,1.77787488,258.296,O=C(CNc1ccccc1F)NCc1ccccc1
1488264,train,0.754663717,0.79728,96.26,1,5,108,0.309529828,-0.468759137,2.785600287,288.369,COC(=O)C1CCCCC1S(=O)(=O)NCC(C)C#N
1043211,train,0.604392257,3.39872,43.6,0,6,100,0.191400224,-0.301915197,1.739178633,292.433,C=CCn1c(SCc2csc(C)n2)nnc1C1CC1
735055,train,0.819865849,0.7656,62.3,1,4,96,0.254036819,-0.352782669,2.119756899,265.338,CCSc1cc(C(=O)N2CCNC(=O)C2)ccn1
