,can,active,decoy,score,time
116,CCCN([C@H](c1ccc(cc1)C)C(=O)NC(C)(C)CC(C)(C)C)C(=O)CCC2CCCCC2,0,1,-9.1,27.55570769
117,Cc1ccc(c(c1)Cl)N[C@H](c2cccc(c2)Cl)c3nnc(o3)c4ccccc4,0,1,-10,11.71259522
118,c1ccc(cc1)Oc2ccc(cc2)N3C(=O)C[C@@H](C3=O)[NH2+]CCc4c[nH]c5c4cc(cc5)Cl,0,1,-9.9,20.37579322
119,CCOc1cc(cc(c1OCc2ccc(cc2Cl)F)Cl)C[NH2+]CCSc3nnnn3C,0,1,-9.4,27.8525722
120,COc1ccc(cc1Cl)NC(=O)[C@H](c2ccccc2)[NH2+]Cc3ccc(cc3)N4CCCC4=O,0,1,-9.4,23.72104812
121,c1ccc2c(c1)CCN[C@@H]2C(=O)Nc3ccccc3Cl,0,1,-9.6,5.882280111
122,C[C@@H](c1ccccc1)[NH2+]Cc2cc(ccc2OCc3cccc(c3)Cl)Br,0,1,-8.6,12.97856879
123,C[C@@H]1CCC[C@H]([C@@H]1C)NC(=O)c2cc([nH]n2)C(C)C,0,1,-8.1,5.258004189
124,Cc1ccc(c(c1)Br)N[C@H](C)c2c(nn(c2C)C)C,0,1,-7.8,5.538230658
125,CC(C)Oc1ccc(cc1CO)C[NH2+][C@@H]2CC(Cc3c2cnn3c4ccc(cc4)F)(C)C,0,1,-8.2,21.34298229
126,Cn1c(cc(n1)c2ccc(cc2)N(C)C)[C@H]3C[NH+]4CC[C@@H]3C[C@@H]4CNC(=S)Nc5ccccc5,0,1,-6.9,22.25236392
127,c1ccc2c(c1)ccc(n2)C(=O)N/N=C\3/CCCCc4c3cccc4,0,1,-7.6,8.994680166
128,Cc1ccccc1C(=O)Nc2cccc(c2)c3cn4cccnc4n3,0,1,-9.1,7.850349903
129,C[C@@H]1CCC[NH+](C1)Cc2ccc(cc2)CNC(=O)/C(=C/c3ccco3)/c4ccccc4,0,1,-9.5,16.02777791
130,c1ccc2c(c1)ccc(c2C[NH2+]Cc3ccc(cc3)F)OCc4c(cccc4Cl)F,0,1,-9.4,16.85273099
131,Cc1cc(ccc1NC(=O)[C@@H]2Cc3cc(ccc3OC2)Cl)Cl,0,1,-7.4,6.19067049
132,CC[C@@H](CNc1c(cc(cc1Cl)Br)Cl)O,0,1,-6.4,5.361531258
133,CC(C)c1ccc(cc1)CN2CC[NH+](CC2)Cc3nc(co3)C(=O)N(C)CCc4ccc(c(c4)OC)OC,0,1,-8.6,39.96127248
134,CCCn1c2ccc(cc2nc1CN3CC[NH+](CC3)C)NC(=O)c4cccc(c4)Br,0,1,-8.3,15.95190072
135,Cc1ccc(cc1Cl)NC(=[NH2+])Nc2[nH]c(=O)cc(n2)CSc3nc4ccccc4s3,0,1,-9.1,21.75503016
136,Cc1cc(c(n1Cc2ccc(cc2)F)C)C(=O)CSCc3ccc(cc3)C(=O)[O-],0,1,-8.5,17.07664704
137,c1ccc(cc1)[C@@H]2[C@H]3C[C@H]4[C@H]([NH+]2CN([C@@H]3c5ccccc5)[C@@H]4c6ccccc6)c7ccccc7,0,1,-8.8,14.16824985
138,Cc1cccc(c1Cl)NC(=S)N(Cc2ccc(cc2)F)C3CC([NH2+]C(C3)(C)C)(C)C,0,1,-8.4,15.50202012
139,C[C@]12CC(c3ccccc3[C@]1(NC(=O)O2)C)(C)C,0,1,-8.1,2.809762478
140,c1cc(c(c(c1)Cl)Cl)NC(=O)c2cccc(n2)C(=O)Nc3cccc(c3Cl)Cl,0,1,-8.9,12.71793866
141,CSc1cccc(c1)NC(=O)c2cc(sc2)Br,0,1,-6.9,5.550859213
142,CN(Cc1cccc(c1)Br)[C@@H](C[NH3+])c2ccc(cc2)Br,0,1,-8,8.35007596
143,CC1CCC(CC1)(CO)Nc2c(c(c(c(c2F)F)F)F)F,0,1,-8.7,6.456852913
144,CCCn\1c2ccc(cc2s/c1=N\C(=O)CCSc3ccc(cc3)F)C,0,1,-8.1,11.12493968
145,Cc1cccc(c1)[C@H]2c3cccn3-c4c(c(nn4c5ccccc5)C)CN2C(=O)Nc6cc(ccc6C)Cl,0,1,-8.1,20.54409671
146,CC(C)CN(CC(C)C)C(=O)c1ccc(s1)c2nc3ccccc3s2,0,1,-7.3,10.39099765
147,c1cc2c(cc1[C@@H](c3ccc(o3)Br)Cl)CCC(=O)N2,0,1,-8.3,4.966901302
148,Cc1cc(ccc1N)Oc2c(cc3c(n2)CCC3)C#N,0,1,-8.4,5.87557888
149,c1ccc2c(c1)CSC[C@H]2Nc3ccc(c(c3)F)F,0,1,-8.8,4.817430735
150,c1cc(ccc1c2ccc(=S)[nH]n2)Br,0,1,-6.7,3.189568996
151,CC[C@@H](C)c1ccccc1Oc2c(cc(cc2F)N)F,0,1,-8.1,6.950807095
152,CC1(CC2=C([C@H](N(c3ccccc3N2)CC(=O)NCCC[NH+](C)C)c4ccccc4OC)C(=O)C1)C,0,1,-6.8,27.67690086
153,CSc1cccc2c1nc(s2)Nc3c(c4c(s3)CCCC4)C#N,0,1,-7.1,5.619083643
154,c1ccc(c(c1)[C@H]2C(=C(N3c4ccccc4NC3=C2C#N)N)C#N)C(F)(F)F,0,1,-7.5,13.38281274
155,c1ccc(cc1)C#C[C@H](c2ccccc2)Nc3cc(cc(c3)Cl)Cl,0,1,-9.3,8.343506098
156,CC[C@H]1CCCC[NH+]1CCCNC(=O)CC2CCN(CC2)S(=O)(=O)c3ccc(s3)Cl,0,1,-8.6,22.10311913
157,Cc1ccc(c(c1)C(C)(C)C)OCc2ccc(cc2Br)N,0,1,-8.9,7.384585857
158,c1ccc2c(c1)NC(=O)C[C@@H](N2C(=O)C[NH+]3CCN(CC3)Cc4ccc(s4)Cl)C(F)(F)F,0,1,-9.1,19.30610013
159,CC1=C([C@@H](n2c(=O)/c(=C/c3c[nH]c4c3cccc4)/sc2=N1)c5cccc(c5)OC)/C(=N\c6ccccc6)/O,0,1,-7.1,27.70384908
160,CCCOc1c(cc(cc1Cl)C[NH2+][C@@H](C)C23CC4CC(C2)CC(C4)C3)OC,0,1,-7.6,14.62844801
161,Cc1ccc(c(c1)C)N[C@@H]2c3ccc(cc3NC2=O)Cl,0,1,-9,4.990869284
162,Cc1ccn2c(c1)[nH+]c(c2NC3CCCCC3)c4ccccc4OC(=O)Cc5cccs5,0,1,-7.4,26.68365932
163,Cc1ccc(cc1F)Cc2c(nc(s2)N)C(C)C,0,1,-7.9,5.135910034
164,CC[C@@]1(C(=O)N(C(=O)N1)NC(=O)CCC2=c3ccccc3=[NH+][C@@H]2c4ccc(cc4)OC)c5ccccc5,0,1,-12.2,35.98415875
165,Cc1c(nc(nc1NC)Cc2cccc(c2)Br)C,0,1,-8.1,4.961136341
166,CCCCCCNC(=O)c1ccc(o1)C[NH+]2CCn3cccc3[C@@H]2c4ccccc4Cl,0,1,-9.8,23.52567053
167,c1ccc2=[NH+]CC(=c2c1)C[C@@H](C(=O)N/N=C/c3ccc(cc3)Br)NC(=O)c4cccs4,0,1,-10.1,23.72355723
168,Cc1ccc(cc1)c2c(n(c[nH+]2)C3CCCC3)c4ccc(o4)C(=O)N[C@@H](C)c5ccccc5,0,1,-8.9,23.37323618
169,CC[C@@H](C)CN1C(=O)[C@@H]([NH2+]C12CCN(CC2)C(=S)Nc3ccccc3F)[C@@H](C)CC,0,1,-8.5,16.00776434
170,c1ccc2c(c1)c(cs2)[C@@H]3Nc4ccccc4C(=O)N3,0,1,-9.3,4.57531929
171,CCOc1ccc(cc1)n2c(nnc2SCC(=O)N/N=C/c3ccc(cc3)C(C)(C)C)c4ccc(cc4)Cl,0,1,-9.6,39.98640108
172,C=CCNC(=O)c1ccccc1NC(=O)C2CC[NH+](CC2)Cc3ccc(c(c3)Cl)Cl,0,1,-7.2,18.27532482
173,Cc1nc2cc(c(cc2s1)N)N3CCC(CC3)(C)C,0,1,-6.4,4.862410784
174,c1c(c(cc(c1Cl)Cl)Cl)NC(=O)c2cc(c(s2)Br)Br,0,1,-8.2,5.873443604
175,c1ccc(cc1)C(=O)N[C@@H](c2c3ccccc3c(=O)[nH]n2)C(=O)N/N=C/c4ccccc4OCc5ccc(cc5)Cl,0,1,-10.2,41.34814525
176,CC[C@@H](C)Oc1c(cc(cc1Cl)Cl)N,0,1,-6.1,4.380693674
177,Cc1ccc(cc1C)NC(=O)Nc2cccc(c2)SC,0,1,-7.8,6.389418364
178,Cc1c(sc(c1C#N)NC(=O)[C@H]2Cc3ccccc3O2)C,0,1,-7.9,6.556526661
179,CC1(CC[C@H](c2c1cccc2)Nc3cccc(c3)C#N)C,0,1,-9.9,5.230605841
180,CCOc1cc(ccc1OCc2ccc(s2)Br)C[C@@H](C)[NH3+],0,1,-7.6,10.62106609
181,c1ccc2=[NH+][C@H]3CN(CCC3=c2c1)C(=O)NCCCC(=O)Nc4cccc(c4)Br,0,1,-9.6,16.25959539
182,CCc1cc2cc3c(cc2[nH]c1=S)OCCO3,0,1,-7.9,3.190950871
183,CC[C@H](C)[C@H](C)Nc1ccc(cc1Cl)Cl,0,1,-6.6,4.201048136
184,CCc1cc(c(s1)NC(=O)c2ccco2)[C@H](c3ccc(cc3)Br)Nc4cccc[nH+]4,0,1,-7,17.81727481
185,CC(C)CCNc1nc2ccc(cc2s1)N,0,1,-7,5.415271044
186,CC(C)c1cccc2c1NC[C@H](C2)C3CCCCC3,0,1,-7.9,4.372286558
187,c1ccc(cc1)/N=C/2\NC(=O)/C(=C\c3cccc(c3)C(F)(F)F)/S2,0,1,-8.9,8.574159145
188,Cc1c(c(no1)c2ccccc2Cl)C(=O)N3C[C@@H](C4(C3)CC[NH2+]CC4)C(=O)N[C@@H]5CCCC[C@@H]5C,0,1,-7.3,18.73191738
189,C[C@@H]1CCCC[C@@H]1[NH+](C)C2CCN(CC2)C(=O)CNC(=O)/C=C/c3c(cccc3Cl)Cl,0,1,-9.4,18.43138862
190,CCOc1cc(cc(c1O)/C=N/c2ccc(c(c2)O)c3nc4ccccc4s3)Br,0,1,-8.5,12.04707599
191,CC[C@H](c1nc2ccccc2c(=O)n1c3ccc(c(c3)C)C)N(CC[NH+](C)C)C(=O)CCC4CCCC4,0,1,-7.1,30.2960577
192,CC(C)c1ccc(cc1)C2=NC3=NN=C([C@@H]3C(=C2)C(=O)[O-])c4ccc(cc4)Cl,0,1,-8.6,11.2920239
193,c1ccc(cc1)[C@@H](CNC(=O)c2cnc(nc2Cl)S(=O)(=O)Cc3ccc(cc3)F)[NH+]4CCCC4,0,1,-9.3,26.44935608
194,C[C@@H]1N[C@H](SC(=S)N1CCN2[C@H](N[C@H](SC2=S)C)C)C,0,1,-6.8,6.196511507
195,c1ccc2=[NH+]CC(=c2c1)/C=C\3/C(=O)N/C(=N\c4ccc(cc4C(F)(F)F)Cl)/S3,0,1,-7.7,10.79260564
196,Cc1ccc2=[NH+][C@@H](C(=c2c1)CCN(Cc3cccnc3)C(=S)Nc4ccccc4C)C,0,1,-9.4,18.80016804
197,Cc1ccc(cc1)CNC(=O)[C@H](C)Sc2nc3c(c4c(s3)CCCC4)c(=O)n2CCC[NH+](C)C,0,1,-6.4,27.51632428
198,c1ccc2=[NH+][C@@H](C(=c2c1)CCC(=O)N3C[C@@H](Oc4c3cccc4)C(=O)N)c5ccc(cc5)F,0,1,-9.2,17.66130233
199,C[C@@H](c1ccccc1F)NC(=O)[C@@H](C)Oc2ccc(cc2Cl)Cl,0,1,-8.6,8.992283344
